triplet_uuid,outlet_idx,sentence_idx,model,mean_abs_shap,top20_tokens
01c59743-7082-44fc-8414-3c04126f470f,3,18,biasdetector,0.03309561232913527,"roiled|0.1477;Trump,|0.1077;has|-0.1062;S.|-0.0822;Seven|-0.0552;contrast,|0.0493;major|-0.0488;praised’’|-0.0343;calling|0.0325;in|0.0307;Group|-0.0250;of|-0.0250;and|0.0247;by|0.0236;U.|-0.0167;reinstatement|0.0133;Putins|0.0098;for’’|0.0092;recently|-0.0083;industrial|0.0082"
01c59743-7082-44fc-8414-3c04126f470f,3,18,daroberta,0.024644424948003583,"roiled|0.2021;Trump,|0.0744;contrast,|0.0633;S.|-0.0559;and|0.0356;U.|-0.0337;reinstatement|0.0254;recently|0.0246;in|0.0235;to|0.0201;Putins|0.0138;the|0.0110;leadership|0.0108;skills|0.0108;for’’|0.0098;Seven|-0.0069;major|-0.0069;calling|0.0061;has|-0.0046;Group|-0.0044"
6f95dcb9-e960-45ac-8c0e-91b85724c909,3,11,biasdetector,0.09024745607748627,"sucked|0.3281;who,|0.1781;And|0.1091;much|0.0969;as|-0.0590;side?|-0.0539;the|0.0468;as|-0.0145;other|-0.0142;exactly,|-0.0017"
6f95dcb9-e960-45ac-8c0e-91b85724c909,3,11,daroberta,0.08111476844642311,"sucked|0.2599;who,|0.1557;And|0.1233;exactly,|0.0702;much|0.0584;the|0.0579;side?|-0.0405;as|-0.0204;as|-0.0142;other|0.0106"
2f3e86b6-8443-47bd-9cd3-491c90a59fe9,3,17,biasdetector,0.02906773807618845,"jabbing|0.1851;his’’|0.0824;believe|0.0720;they|-0.0652;have|-0.0514;laundry|0.0509;ethical|0.0492;administrations|0.0455;abuses.|0.0381;a|0.0359;alleged|0.0335;clear|-0.0312;homing|0.0302;Democrats|-0.0283;and|0.0269;also|-0.0260;provisions|-0.0251;and|0.0250;the|-0.0249;House,|-0.0238"
2f3e86b6-8443-47bd-9cd3-491c90a59fe9,3,17,daroberta,0.01826431938424343,"his’’|0.1380;administrations|0.0947;alleged|0.0765;ethical|0.0728;abuses.|0.0682;of|0.0449;list|0.0352;jabbing|0.0315;homing|0.0306;laundry|0.0301;a|0.0294;in|0.0085;on|0.0085;included|-0.0052;several|-0.0052;provisions|-0.0052;House,|0.0050;and|0.0044;believe|0.0041;that|0.0041"
72fa9b13-4e59-4716-8df9-4c3580e7dddf,1,24,biasdetector,0.06778167025594596,"screw|0.3260;said|-0.1954;them,””|-0.1667;McCain|-0.1599;so|0.0772;of’’|0.0621;““Joe|0.0471;colleagues|-0.0445;Lieberman|-0.0355;experience|0.0355;has|-0.0329;more|-0.0303;of|-0.0287;combined,|-0.0215;Democratsconcerns.|-0.0080;Democrat|0.0065;than|-0.0061;my|-0.0021;all|0.0019"
72fa9b13-4e59-4716-8df9-4c3580e7dddf,1,24,daroberta,0.04580639678445694,"screw|0.2990;so|0.1414;combined,|0.0843;experience|0.0441;McCain|-0.0374;colleagues|0.0364;““Joe|0.0340;all|0.0323;Democrat|0.0292;of’’|0.0253;said|-0.0225;more|-0.0197;Lieberman|-0.0193;them,””|0.0148;my|0.0106;than|-0.0100;of|0.0053;Democratsconcerns.|0.0039;has|-0.0010"
86e6e27d-1440-4879-8b13-0dd2d89f7281,3,10,biasdetector,0.21879335368673006,Bullies’’|0.5041;win.’’|-0.1241;dont|-0.0282
86e6e27d-1440-4879-8b13-0dd2d89f7281,3,10,daroberta,0.16875723532090584,Bullies’’|0.3530;win.’’|0.1049;dont|-0.0484
6f95dcb9-e960-45ac-8c0e-91b85724c909,1,7,biasdetector,0.1243917519847552,"clown|0.3369;show.|0.1476;not|0.1158;is|-0.0749;a|-0.0664;""America|0.0047"
6f95dcb9-e960-45ac-8c0e-91b85724c909,1,7,daroberta,0.10163205784435074,"clown|0.2551;""America|0.1194;not|0.0738;show.|0.0593;is|-0.0580;a|-0.0442"
b4dbeda7-a1f3-4711-ae77-db23809d1ed2,3,0,biasdetector,0.05639582813563509,combustible|0.4567;ways.|0.0992;rather|0.0987;East|-0.0817;in|-0.0304;and|-0.0303;a|-0.0253;presidential|-0.0232;surfacing|-0.0199;politics|0.0192;of|0.0175;Israel|-0.0153;Middle|-0.0109;tendency|0.0095;policy|0.0095;in|0.0064;have|-0.0050
b4dbeda7-a1f3-4711-ae77-db23809d1ed2,3,0,daroberta,0.05942363368610771,combustible|0.3844;rather|0.2030;politics|0.1004;tendency|0.0468;East|-0.0443;in|-0.0392;policy|0.0286;surfacing|-0.0284;Middle|-0.0254;ways.|0.0218;and|-0.0206;in|0.0181;a|-0.0157;of|0.0150;Israel|-0.0084;presidential|0.0076;have|-0.0024
eb17fa36-89f2-4d0b-8133-7bb4682228e1,1,7,biasdetector,0.06889931074369492,claimed|0.2889;bias|0.1350;'s|-0.1233;Hillary|0.1136;prosecutors|-0.1068;candidacy.|-0.0950;who|0.0800;District|-0.0701;in|-0.0523;Clinton|0.0414;also|0.0359;of|0.0287;supported|0.0234;Southern|-0.0190;the|0.0157;from|0.0078;He|-0.0029;California|0.0004
eb17fa36-89f2-4d0b-8133-7bb4682228e1,1,7,daroberta,0.06807304685288626,claimed|0.4248;bias|0.1883;District|-0.1060;also|0.0942;He|0.0730;in|-0.0657;prosecutors|-0.0612;'s|-0.0380;California|-0.0342;the|0.0322;who|0.0251;from|0.0247;Hillary|0.0234;candidacy.|-0.0209;of|0.0062;supported|-0.0032;Southern|-0.0022;Clinton|-0.0021
aab91277-8d56-4844-a581-45630f873f49,2,20,biasdetector,0.06797607037954514,blasted|0.4144;S.|-0.1068;former|0.1039;Genova|-0.0997;outrageous.””|-0.0903;U.|-0.0832;as““|0.0790;But|-0.0580;tactic|-0.0547;the|-0.0448;di|-0.0221;District|-0.0145;the|0.0138;Columbia|-0.0134;attorney|-0.0096;Joseph|0.0092;of|-0.0032;for|-0.0029
aab91277-8d56-4844-a581-45630f873f49,2,20,daroberta,0.05642317865406061,blasted|0.4468;Genova|-0.1584;outrageous.””|0.0960;the|-0.0565;as““|0.0520;former|0.0401;But|0.0388;tactic|-0.0209;di|-0.0136;U.|-0.0127;Joseph|-0.0127;S.|-0.0123;Columbia|-0.0116;District|-0.0104;of|-0.0099;the|-0.0097;for|-0.0068;attorney|-0.0065
b764f81f-6d08-4d7c-b1a8-8961bed0a455,3,35,biasdetector,0.07513425403740258,"said.|-0.2623;violent|0.1837;criminal|0.1796;""If|0.1485;Elliott|-0.0962;charge,""|-0.0941;the|0.0752;Oklahoma|-0.0702;Nebraska|-0.0506;succeed,|-0.0258;put|-0.0239;in|0.0237;they|0.0139;organizations|-0.0101;back|0.0097;will|0.0085;and|-0.0014"
b764f81f-6d08-4d7c-b1a8-8961bed0a455,3,35,daroberta,0.05666189888108741,"criminal|0.3002;violent|0.2392;the|0.1284;Elliott|-0.0521;said.|-0.0399;""If|0.0356;put|-0.0292;charge,""|-0.0286;organizations|0.0278;they|0.0230;in|0.0137;and|0.0121;Oklahoma|-0.0117;Nebraska|-0.0117;will|-0.0051;back|0.0025;succeed,|0.0023"
450755dd-30d3-478b-933e-917be5c384ba,3,29,biasdetector,0.05876776515439367,Crtitics|0.3310;companys|-0.1749;of|0.1502;fil|0.0840;the’’|-0.0688;that|0.0433;A|-0.0425;to|-0.0320;opposition|-0.0300;goes|-0.0293;Dan’’|0.0259;marriage|-0.0243;argue|0.0219;beyond|0.0171;well|0.0134;statements.|0.0120;Chick|0.0086;gay|-0.0038;Cathys|0.0036
450755dd-30d3-478b-933e-917be5c384ba,3,29,daroberta,0.04268827302822549,Crtitics|0.4332;of|0.1178;A|-0.0617;fil|0.0540;the’’|0.0324;argue|-0.0242;that|0.0209;Chick|0.0146;statements.|0.0132;beyond|0.0081;marriage|0.0060;Cathys|0.0059;Dan’’|0.0056;well|0.0038;companys|0.0035;gay|-0.0029;opposition|0.0017;goes|-0.0011;to|0.0005
b5eefefb-2a33-45de-abe1-f855c94165f4,1,41,biasdetector,0.032864240346898395,"debate,|-0.2021;little|0.1401;claimed|0.1253;Ryan,|0.0680;offers|0.0582;toward|-0.0519;deficit.|-0.0478;of|-0.0329;warned|0.0275;end|-0.0272;that|0.0237;the|0.0215;the|-0.0186;and|0.0167;coming""|-0.0132;debt|-0.0094;address|-0.0084;the|-0.0084;is|-0.0042;more|0.0034"
b5eefefb-2a33-45de-abe1-f855c94165f4,1,41,daroberta,0.02860035675064642,"claimed|0.2818;and|0.1098;little|0.0571;Ryan,|-0.0397;the|0.0353;speeches|0.0300;a""|0.0255;president|-0.0236;debate,|-0.0225;offers|0.0218;to|0.0205;coming""|-0.0188;crisis|0.0159;sitting|-0.0156;more|0.0139;than|0.0139;that|-0.0137;is|0.0108;debt|0.0106;warned|0.0046"
7f9c83f7-3efa-4c7a-adef-3ebdeda96042,1,16,biasdetector,0.11504554015118629,that|0.3513;stuck|0.3266;is|0.1029;Cuba|-0.0905;the|0.0563;War.|-0.0542;in|-0.0540;A|0.0409;Cold|-0.0371;policy|0.0366
7f9c83f7-3efa-4c7a-adef-3ebdeda96042,1,16,daroberta,0.08911914913915098,stuck|0.2036;that|0.2019;Cuba|-0.1746;in|-0.0839;the|0.0811;is|0.0728;policy|0.0375;A|0.0134;War.|-0.0127;Cold|0.0096
b5eefefb-2a33-45de-abe1-f855c94165f4,3,16,biasdetector,0.038151155700463624,"abashed|0.2132;Mr.|-0.1448;mocked|0.1229;held|-0.1180;Obama|0.0540;asking|0.0477;Ryan|-0.0468;his|0.0435;yet|0.0396;him|0.0377;stimulus,|0.0310;own,|0.0290;district.|-0.0224;government|0.0202;but|0.0158;when|0.0143;Mr.|0.0134;funds|-0.0101;opposing|0.0099;the|0.0099"
b5eefefb-2a33-45de-abe1-f855c94165f4,3,16,daroberta,0.030738534344293713,mocked|0.2367;abashed|0.2017;him|0.0629;but|0.0530;district.|0.0309;Mr.|-0.0288;yet|0.0247;Mr.|-0.0233;government|0.0231;for|0.0204;for|0.0196;asking|0.0188;his|0.0182;own|0.0182;funds|0.0169;for|0.0169;when|-0.0073;look|0.0071;opposing|0.0055;the|0.0055
c99adbdd-eaf3-4844-9548-2642e80de4e2,2,18,biasdetector,0.031392538196393614,"establishment|0.2268;anyone|0.0974;character|0.0904;though|-0.0513;almost|0.0485;Rep.|-0.0449;leadership.|0.0384;R|-0.0373;Texas)|-0.0366;else|0.0256;is|0.0210;an|0.0202;was|-0.0148;the|-0.0136;McCarthy,|-0.0085;he|0.0083;as|0.0070;as|0.0066;Sessions(|0.0059;other|-0.0052"
c99adbdd-eaf3-4844-9548-2642e80de4e2,2,18,daroberta,0.0326410518783902,"establishment|0.2710;an|0.0754;anyone|0.0651;is|0.0531;character|0.0489;almost|0.0437;Texas)|-0.0386;as|0.0323;Rep.|-0.0259;much|0.0238;else|0.0234;leadership.|-0.0208;McCarthy,|0.0166;though|-0.0124;alternate|0.0122;to|0.0122;he|0.0120;conservative|0.0117;Sessions(|-0.0099;the|0.0083"
87609973-bd58-42a5-96e2-ee5aa47433f5,1,6,biasdetector,0.14054381175498878,finally|0.3560;Justice|0.1506;must|0.1221;act?|0.1121;State|0.1108;Dept|-0.0835;““Deep|-0.0487
87609973-bd58-42a5-96e2-ee5aa47433f5,1,6,daroberta,0.15757067089102098,““Deep|0.3254;finally|0.3116;Justice|0.1550;must|-0.1313;Dept|-0.0672;act?|0.0662;State|0.0464
aab91277-8d56-4844-a581-45630f873f49,1,42,biasdetector,0.0541943690418044,"numerous|0.3037;lies|0.2704;indictment|-0.1748;The|-0.1004;to|0.0799;his|-0.0654;documented|-0.0591;about|-0.0493;other|-0.0465;WikiLeaks,|-0.0388;pressure|0.0369;to|-0.0361;to|-0.0353;to|-0.0337;about|-0.0318;lie.|-0.0286;efforts|-0.0255;witnesses|0.0212;up|0.0202;to|-0.0155"
aab91277-8d56-4844-a581-45630f873f49,1,42,daroberta,0.042084275312455635,"lies|0.2651;numerous|0.1897;indictment|-0.1058;The|-0.0775;other|-0.0525;to|0.0505;lawmakers|-0.0500;WikiLeaks,|0.0436;channel|0.0424;witnesses|0.0389;his|0.0366;pressure|-0.0286;and|0.0283;to|-0.0268;about|0.0237;efforts|0.0192;about|0.0178;set|-0.0142;efforts|-0.0132;his|0.0132"
1bb79cc1-5d69-4136-a23d-6dbd300cbf25,1,29,biasdetector,0.04364660651267816,talking|0.2602;incorrectly|0.1589;had|-0.1557;emphasized|-0.0993;News|-0.0629;off|0.0525;the|0.0405;a|-0.0405;ABC|-0.0396;protect|0.0396;Rhodes|-0.0354;report|-0.0353;State’’|0.0335;interests.|-0.0298;the|-0.0250;In|-0.0246;reported|-0.0207;that|0.0202;over|0.0192;the|0.0187
1bb79cc1-5d69-4136-a23d-6dbd300cbf25,1,29,daroberta,0.03196727684594287,"talking|0.1681;incorrectly|0.0790;News|0.0751;interests.|-0.0636;State’’|0.0593;that|0.0477;points,|0.0414;reported|-0.0408;Mr.|-0.0372;emphasized|-0.0351;had|-0.0349;tempest|0.0340;Departments|0.0304;the|0.0276;latest|0.0227;report|-0.0206;over|0.0159;protect|0.0158;off|0.0155;In|-0.0128"
1e41e98b-9ac1-441d-b2c2-19d8f730c74a,2,38,biasdetector,0.027942054082799435,"badly|0.0928;It|0.0915;millions|0.0865;the|0.0847;by|0.0624;races!””|-0.0595;of|0.0586;was|-0.0436;were|-0.0411;Shutdown|0.0344;21|-0.0306;understanding|-0.0281;hurt|0.0264;days,|-0.0229;care|0.0189;taking|-0.0188;with|0.0171;who|0.0140;that|-0.0119;its|0.0101"
1e41e98b-9ac1-441d-b2c2-19d8f730c74a,2,38,daroberta,0.024677283750997498,"races!””|0.1214;Shutdown|0.1125;21|-0.0788;badly|0.0635;hurt|0.0441;by|0.0437;its|0.0420;taking|-0.0324;done,’’|0.0300;were|-0.0231;understanding|-0.0228;days,|-0.0220;the|0.0204;millions|0.0188;of|0.0167;in|-0.0138;was|-0.0128;deal|0.0118;off|0.0088;to|0.0088"
b5eefefb-2a33-45de-abe1-f855c94165f4,1,11,biasdetector,0.035636984634331695,"of""|0.1754;Obama|0.0929;Ryan|-0.0836;S.|-0.0753;terror|0.0752;weakness""|0.0675;U.|-0.0571;Libya.|-0.0441;accused|0.0428;policy,|-0.0376;in|-0.0332;particularly|-0.0271;the|0.0223;in|0.0200;Consulate|-0.0170;Benghazi,|0.0164;his|-0.0106;the|-0.0063;on|-0.0061;projecting|0.0055"
b5eefefb-2a33-45de-abe1-f855c94165f4,1,11,daroberta,0.030237029239427872,"weakness""|0.1073;Ryan|-0.1000;terror|0.0666;accused|0.0606;of""|0.0532;Consulate|0.0517;on|0.0378;attack|0.0319;S.|-0.0308;Obama|0.0300;Libya.|-0.0253;policy,|0.0251;the|0.0182;in|0.0167;Benghazi,|-0.0159;with|0.0157;foreign|0.0155;his|0.0146;the|0.0115;in|0.0104"
3ae35b16-7f7f-4a5e-9f24-5ce724106a73,3,20,biasdetector,0.058361015425394284,"mocking|0.4362;launching|0.1482;sued,””|-0.1138;said,|-0.1063;into|0.0847;““Look,|-0.0835;a|-0.0619;how|0.0486;he|-0.0466;court|-0.0460;him.|-0.0271;I|0.0153;riff|-0.0124;anticipated|0.0107;about|0.0094;he|-0.0078;to|0.0060;expect|-0.0056;lower|-0.0052;be|-0.0043"
3ae35b16-7f7f-4a5e-9f24-5ce724106a73,3,20,daroberta,0.03679854597208932,"mocking|0.4718;launching|0.1211;into|0.0614;a|0.0297;court|-0.0162;said,|-0.0151;about|0.0141;how|0.0131;him.|0.0114;anticipated|0.0083;rulings|0.0075;lower|-0.0069;riff|0.0067;““Look,|0.0051;expect|0.0050;he|-0.0048;to|0.0036;be|0.0029;he|-0.0018;sued,””|0.0018"
dd1e6e3b-f36c-4064-8ef9-940984e9afa2,1,1,biasdetector,0.03662646251107236,"selectively|0.2697;leak.|0.1451;produced““|0.0841;to|0.0799;series|-0.0746;Jr.|-0.0653;In|-0.0471;tweets,|-0.0466;messages|-0.0274;of|-0.0257;with@|0.0232;of|0.0211;responses)|0.0209;of|-0.0193;the|-0.0193;Trump|0.0168;a|-0.0157;the|0.0157;wikileaks(|0.0155;whopping|0.0141"
dd1e6e3b-f36c-4064-8ef9-940984e9afa2,1,1,daroberta,0.02445236441769427,"selectively|0.0946;responses)|0.0645;leak.|0.0622;produced““|0.0591;with@|0.0486;to|0.0452;wikileaks(|0.0370;messages|0.0363;whopping|0.0350;3|0.0350;with|0.0333;my|0.0333;entire|0.0244;Trump|0.0231;chain|0.0204;of|0.0201;the|0.0198;Jr.|-0.0164;tweets,|0.0072;of|0.0066"
58f414e5-a122-49f5-819e-512d91069da5,2,42,biasdetector,0.04815968331165129,"oddity,|0.2769;mound,|-0.1026;apparent|0.0713;bit|0.0611;Clydesdale.)|-0.0509;sponsorship|-0.0496;of|-0.0397;delivered|-0.0353;ball|-0.0346;(The|-0.0327;a|0.0238;was|-0.0227;in|-0.0193;by|0.0190;an|0.0156;Budweiser|-0.0079;to|0.0020;the|0.0020"
58f414e5-a122-49f5-819e-512d91069da5,2,42,daroberta,0.04700225771197842,"oddity,|0.5676;bit|0.0631;Budweiser|0.0628;sponsorship|-0.0356;mound,|-0.0218;a|0.0214;Clydesdale.)|0.0186;(The|-0.0146;an|0.0092;ball|-0.0073;in|0.0070;apparent|0.0059;to|-0.0040;the|-0.0040;was|-0.0017;delivered|-0.0017;by|-0.0001;of|0.0001"
45bd61bc-c356-4450-9e3a-cbfc862b09fd,2,11,biasdetector,0.050138932439343385,Monday|-0.1590;not|-0.1411;claimed|0.1183;decision|-0.0967;dive|0.0903;Obama|0.0766;House|0.0684;that|0.0682;'s|-0.0639;politics|0.0597;to|0.0517;were|-0.0510;near|-0.0482;in|0.0392;Zero.|-0.0375;a|-0.0278;planned|-0.0271;controversy|0.0266;The|-0.0238;mosque|-0.0213
45bd61bc-c356-4450-9e3a-cbfc862b09fd,2,11,daroberta,0.0340796942747015,claimed|0.3531;politics|0.1306;House|0.0732;Monday|-0.0718;The|0.0383;Obama|0.0325;planned|-0.0235;dive|0.0191;were|-0.0176;near|-0.0169;that|0.0164;White|-0.0138;in|0.0137;controversy|0.0123;into|0.0117;not|-0.0110;the|0.0105;play|-0.0089;a|-0.0088;Ground|0.0082
ee05c9b3-529c-4268-ad72-19bd34f7197e,2,10,biasdetector,0.0380904137489519,"""Although|-0.2235;responsible|0.1541;win...|0.0906;I|-0.0719;tremendous|0.0695;support|-0.0539;wonderful|0.0470;clearly|0.0461;helping|-0.0357;they|0.0320;grassroots|-0.0304;out,|-0.0281;for|0.0228;'re|0.0226;and|0.0206;and|-0.0179;me|0.0160;just|0.0156;the|-0.0150;party|-0.0117"
ee05c9b3-529c-4268-ad72-19bd34f7197e,2,10,daroberta,0.03295573402341886,"responsible|0.0999;and|0.0928;""Although|-0.0778;win...|0.0638;'re|0.0527;for|0.0516;tremendous|0.0501;have|-0.0490;wonderful|0.0431;I|-0.0392;the|0.0365;and|0.0313;support|-0.0278;tea|0.0277;and|0.0244;the|0.0157;people|0.0153;tea|0.0151;party|0.0151;party|0.0150"
542cd22c-ea80-4669-995b-6ac6a33823f7,3,22,biasdetector,0.05896956374106759,outlets.””|-0.1109;blasted““|0.0980;hyster|0.0885;And|0.0755;ical|0.0641;anti|0.0550;media|0.0489;and|0.0466;they|0.0373;hunters|0.0156;news|0.0084
542cd22c-ea80-4669-995b-6ac6a33823f7,3,22,daroberta,0.06458489692092619,hyster|0.1139;And|0.1136;hunters|0.1000;blasted““|0.0967;ical|0.0717;outlets.””|0.0622;news|0.0439;they|0.0299;anti|-0.0283;and|0.0272;media|-0.0230
1e41e98b-9ac1-441d-b2c2-19d8f730c74a,2,19,biasdetector,0.08277919190004468,illegal|0.2958;rhetoric|0.2165;raised|-0.1546;toughened|-0.1304;have|-0.1039;their|0.0982;considerably|0.0968;immigration.|0.0849;They|0.0831;funding|-0.0438;stopping|0.0375;offer|-0.0357;border|0.0284;and|-0.0256;security|-0.0157;on|0.0155;on|-0.0144;their|0.0092
1e41e98b-9ac1-441d-b2c2-19d8f730c74a,2,19,daroberta,0.06391729959028049,rhetoric|0.2921;illegal|0.1927;considerably|0.1257;toughened|-0.1138;stopping|-0.1078;raised|-0.0910;immigration.|0.0668;have|-0.0429;funding|-0.0337;and|-0.0261;on|0.0220;offer|-0.0107;They|0.0102;their|0.0049;on|-0.0036;security|-0.0035;border|0.0032;their|-0.0002
1e41e98b-9ac1-441d-b2c2-19d8f730c74a,3,14,biasdetector,0.07431870274314727,rehashing|0.2443;Friday|-0.2358;speech|-0.1853;points|-0.1417;usual|0.1188;his|0.0860;Trump|0.0813;crime|0.0523;talking|0.0451;the|0.0380;most|-0.0231;at|0.0223;his|-0.0220;spent|-0.0214;on|0.0064;border.|-0.0050;about|0.0046;of|0.0041
1e41e98b-9ac1-441d-b2c2-19d8f730c74a,3,14,daroberta,0.06462021973156543,rehashing|0.1726;usual|0.1608;Friday|-0.1485;crime|0.0975;speech|-0.0921;his|0.0820;talking|0.0771;Trump|0.0643;on|0.0507;points|-0.0462;border.|-0.0400;the|0.0329;about|0.0314;at|0.0240;of|0.0225;his|0.0143;most|-0.0038;spent|-0.0022
550b80db-bdd5-442b-8f70-c8e9f3203a13,2,3,biasdetector,0.029036337893423518,"Basically|0.1186;of…|0.0962;serious|0.0766;what|0.0695;magazine--|-0.0569;a|0.0455;America|0.0454;who|0.0387;is|-0.0384;president|-0.0371;important,|-0.0364;United|-0.0358;contender|-0.0308;what|0.0304;woman|0.0294;magazine,|-0.0284;this|-0.0236;Newsweek|0.0219;not|0.0212;of|0.0197"
550b80db-bdd5-442b-8f70-c8e9f3203a13,2,3,daroberta,0.023346298379122197,"Basically|0.3515;is|-0.0529;of…|0.0473;not|0.0350;and|0.0332;America|0.0264;this|0.0243;United|-0.0242;Newsweek|0.0207;States|-0.0206;a|0.0179;contender|-0.0172;of|0.0161;magazine--|0.0147;magazine,|0.0134;Newsweek|0.0105;a|0.0099;for|-0.0098;important,|0.0084;what|0.0078"
2ec04201-2016-4227-baf7-ba8289058203,3,33,biasdetector,0.05117600413725101,"said’’|-0.2772;Amplifying|0.2415;2012.””|-0.2053;he|-0.1574;message,|-0.1115;claimed|0.1104;the““|0.0956;Obamas|0.0628;attack|0.0597;campaign|-0.0528;Romney|0.0512;blame|0.0417;become|0.0387;the|0.0387;and|0.0308;borrowing|0.0168;is|0.0159;dragging|0.0159;campaign|0.0155;hope|-0.0151"
2ec04201-2016-4227-baf7-ba8289058203,3,33,daroberta,0.022328832268477507,claimed|0.1936;the““|0.1175;also|0.0403;he|0.0373;said’’|-0.0371;2012.””|0.0343;he|-0.0310;Obamas|0.0258;and|0.0184;attack|0.0183;Amplifying|0.0179;growth|0.0177;of'|0.0168;campaign|0.0136;economic|0.0109;hope|0.0107;become|0.0107;the|0.0107;blame|0.0107;borrowing|0.0100
13792511-5142-449f-8d3e-d77d790f65ec,1,0,biasdetector,0.07389736116553346,Throw|0.3033;His|0.2158;Hat|0.1425;Chris|0.0687;Christie|-0.0663;Run|-0.0599;for|-0.0485;the|0.0453;NJ|-0.0426;Gov|0.0340;in|0.0268;Ring|-0.0223;White|-0.0164;House|-0.0149;to|-0.0013
