level,partition,model,word,mean_abs_shap,count,category,proportion,n_selected_words
feature,shared,biasdetector,roiled,0.147677,1,Emotional/Evaluative,,
feature,shared,biasdetector,s,0.071278,4,Emotional/Evaluative,,
feature,shared,biasdetector,sucked,0.328115,1,Emotional/Evaluative,,
feature,shared,biasdetector,believe,0.072024,1,Emotional/Evaluative,,
feature,shared,biasdetector,must,0.075155,3,Function/Temporal Words,,
feature,shared,biasdetector,jabbing,0.185128,1,Emotional/Evaluative,,
feature,shared,biasdetector,his’’,0.08239,1,Emotional/Evaluative,,
feature,shared,biasdetector,colleagues,0.082335,2,Emotional/Evaluative,,
feature,shared,biasdetector,screw,0.326049,1,Emotional/Evaluative,,
feature,shared,biasdetector,"them,””",0.166656,1,Emotional/Evaluative,,
feature,shared,biasdetector,mccain,0.119159,2,Emotional/Evaluative,,
feature,shared,biasdetector,said,0.134967,6,Framing/Reporting Verbs,,
feature,shared,biasdetector,of’’,0.062103,1,Emotional/Evaluative,,
feature,shared,biasdetector,bullies’’,0.504112,1,Emotional/Evaluative,,
feature,shared,biasdetector,win.’’,0.124062,1,Emotional/Evaluative,,
feature,shared,biasdetector,clown,0.336915,1,Emotional/Evaluative,,
feature,shared,biasdetector,show,0.088911,2,Emotional/Evaluative,,
feature,shared,biasdetector,east,0.081739,1,Emotional/Evaluative,,
feature,shared,biasdetector,rather,0.170726,2,Emotional/Evaluative,,
feature,shared,biasdetector,combustible,0.456666,1,Emotional/Evaluative,,
feature,shared,biasdetector,ways,0.099246,1,Emotional/Evaluative,,
feature,shared,biasdetector,bias,0.100173,2,Emotional/Evaluative,,
feature,shared,biasdetector,prosecutors,0.106804,1,Emotional/Evaluative,,
feature,shared,biasdetector,hillary,0.07431,2,Emotional/Evaluative,,
feature,shared,biasdetector,candidacy,0.095008,1,Emotional/Evaluative,,
feature,shared,biasdetector,genova,0.099663,1,Emotional/Evaluative,,
feature,shared,biasdetector,blasted,0.414446,1,Emotional/Evaluative,,
feature,shared,biasdetector,as““,0.079018,1,Emotional/Evaluative,,
feature,shared,biasdetector,outrageous.””,0.090277,1,Emotional/Evaluative,,
feature,shared,biasdetector,oklahoma,0.070181,1,Emotional/Evaluative,,
feature,shared,biasdetector,violent,0.183675,1,Emotional/Evaluative,,
feature,shared,biasdetector,criminal,0.179588,1,Emotional/Evaluative,,
feature,shared,biasdetector,charge,0.094108,1,Emotional/Evaluative,,
feature,shared,biasdetector,elliott,0.096211,1,Emotional/Evaluative,,
feature,shared,biasdetector,crtitics,0.330976,1,Emotional/Evaluative,,
feature,shared,biasdetector,fil,0.083994,1,Emotional/Evaluative,,
feature,shared,biasdetector,companys,0.174856,1,Emotional/Evaluative,,
feature,shared,biasdetector,debate,0.20213,1,Emotional/Evaluative,,
feature,shared,biasdetector,little,0.14009,1,Emotional/Evaluative,,
feature,shared,biasdetector,cuba,0.090468,1,Emotional/Evaluative,,
feature,shared,biasdetector,stuck,0.326616,1,Emotional/Evaluative,,
feature,shared,biasdetector,war,0.089361,3,Emotional/Evaluative,,
feature,shared,biasdetector,held,0.117997,1,Emotional/Evaluative,,
feature,shared,biasdetector,abashed,0.213238,1,Emotional/Evaluative,,
feature,shared,biasdetector,mocked,0.122858,1,Emotional/Evaluative,,
feature,shared,biasdetector,almost,0.072199,2,Emotional/Evaluative,,
feature,shared,biasdetector,establishment,0.306011,2,Emotional/Evaluative,,
feature,shared,biasdetector,character,0.072765,2,Emotional/Evaluative,,
feature,shared,biasdetector,anyone,0.097445,1,Emotional/Evaluative,,
feature,shared,biasdetector,state,0.110764,1,Framing/Reporting Verbs,,
feature,shared,biasdetector,justice,0.062583,3,Emotional/Evaluative,,
feature,shared,biasdetector,dept,0.083466,1,Emotional/Evaluative,,
feature,shared,biasdetector,finally,0.253782,2,Emotional/Evaluative,,
feature,shared,biasdetector,act,0.07572,2,Emotional/Evaluative,,
feature,shared,biasdetector,indictment,0.174754,1,Emotional/Evaluative,,
feature,shared,biasdetector,numerous,0.303656,1,Emotional/Evaluative,,
feature,shared,biasdetector,lies,0.270393,1,Emotional/Evaluative,,
feature,shared,biasdetector,talking,0.152622,2,Emotional/Evaluative,,
feature,shared,biasdetector,points,0.073846,2,Emotional/Evaluative,,
feature,shared,biasdetector,incorrectly,0.158929,1,Emotional/Evaluative,,
feature,shared,biasdetector,had,0.067399,6,Function/Temporal Words,,
feature,shared,biasdetector,emphasized,0.099269,1,Emotional/Evaluative,,
feature,shared,biasdetector,millions,0.086509,1,Emotional/Evaluative,,
feature,shared,biasdetector,badly,0.092755,1,Emotional/Evaluative,,
feature,shared,biasdetector,accused,0.112217,3,Emotional/Evaluative,,
feature,shared,biasdetector,weakness,0.067517,1,Emotional/Evaluative,,
feature,shared,biasdetector,terror,0.07525,1,Emotional/Evaluative,,
feature,shared,biasdetector,““look,0.08351,1,Emotional/Evaluative,,
feature,shared,biasdetector,i,0.064792,4,Emotional/Evaluative,,
feature,shared,biasdetector,"sued,””",0.113777,1,Emotional/Evaluative,,
feature,shared,biasdetector,launching,0.148227,1,Emotional/Evaluative,,
feature,shared,biasdetector,mocking,0.436205,1,Emotional/Evaluative,,
feature,shared,biasdetector,series,0.074647,1,Emotional/Evaluative,,
feature,shared,biasdetector,jr,0.065252,1,Emotional/Evaluative,,
feature,shared,biasdetector,produced““,0.084067,1,Emotional/Evaluative,,
feature,shared,biasdetector,selectively,0.269685,1,Emotional/Evaluative,,
feature,shared,biasdetector,leak,0.145124,1,Emotional/Evaluative,,
feature,shared,biasdetector,mound,0.10258,1,Emotional/Evaluative,,
feature,shared,biasdetector,apparent,0.071277,1,Emotional/Evaluative,,
feature,shared,biasdetector,oddity,0.276935,1,Emotional/Evaluative,,
feature,shared,biasdetector,monday,0.158985,1,Function/Temporal Words,,
feature,shared,biasdetector,dive,0.090321,1,Emotional/Evaluative,,
feature,shared,biasdetector,although,0.22348,1,Emotional/Evaluative,,
feature,shared,biasdetector,tremendous,0.069516,1,Emotional/Evaluative,,
feature,shared,biasdetector,responsible,0.154147,1,Emotional/Evaluative,,
feature,shared,biasdetector,win,0.09061,1,Emotional/Evaluative,,
feature,shared,biasdetector,blasted““,0.097994,1,Emotional/Evaluative,,
feature,shared,biasdetector,hyster,0.088496,1,Emotional/Evaluative,,
feature,shared,biasdetector,ical,0.064058,1,Emotional/Evaluative,,
feature,shared,biasdetector,media,0.102551,3,Emotional/Evaluative,,
feature,shared,biasdetector,outlets.””,0.110853,1,Emotional/Evaluative,,
feature,shared,biasdetector,raised,0.154645,1,Emotional/Evaluative,,
feature,shared,biasdetector,considerably,0.09676,1,Emotional/Evaluative,,
feature,shared,biasdetector,toughened,0.13041,1,Emotional/Evaluative,,
feature,shared,biasdetector,illegal,0.295772,1,Emotional/Evaluative,,
feature,shared,biasdetector,immigration,0.084886,1,Emotional/Evaluative,,
feature,shared,biasdetector,speech,0.099215,2,Emotional/Evaluative,,
feature,shared,biasdetector,friday,0.285984,2,Function/Temporal Words,,
feature,shared,biasdetector,rehashing,0.244288,1,Emotional/Evaluative,,
feature,shared,biasdetector,usual,0.118803,1,Emotional/Evaluative,,
feature,shared,biasdetector,basically,0.11857,1,Emotional/Evaluative,,
feature,shared,biasdetector,of…,0.096215,1,Emotional/Evaluative,,
feature,shared,biasdetector,amplifying,0.241479,1,Emotional/Evaluative,,
feature,shared,biasdetector,message,0.111523,1,Emotional/Evaluative,,
feature,shared,biasdetector,said’’,0.277226,1,Emotional/Evaluative,,
feature,shared,biasdetector,the““,0.104999,2,Emotional/Evaluative,,
feature,shared,biasdetector,2012.””,0.205275,1,Emotional/Evaluative,,
feature,shared,biasdetector,chris,0.068677,1,Emotional/Evaluative,,
feature,shared,biasdetector,christie,0.066315,1,Emotional/Evaluative,,
feature,shared,biasdetector,throw,0.303344,1,Emotional/Evaluative,,
feature,shared,biasdetector,hat,0.142472,1,Emotional/Evaluative,,
feature,shared,biasdetector,run,0.108179,3,Emotional/Evaluative,,
feature,shared,biasdetector,surreal,0.115844,1,Emotional/Evaluative,,
feature,shared,biasdetector,lashes,0.144587,1,Emotional/Evaluative,,
feature,shared,biasdetector,abstract,0.091213,1,Emotional/Evaluative,,
feature,shared,biasdetector,complain,0.089906,1,Emotional/Evaluative,,
feature,shared,biasdetector,amok,0.155357,1,Emotional/Evaluative,,
feature,shared,biasdetector,started,0.062069,1,Emotional/Evaluative,,
feature,shared,biasdetector,innocuous,0.328278,1,Emotional/Evaluative,,
feature,shared,biasdetector,liberated,0.200767,1,Emotional/Evaluative,,
feature,shared,biasdetector,large,0.069837,1,Emotional/Evaluative,,
feature,shared,biasdetector,thursday,0.076163,4,Function/Temporal Words,,
feature,shared,biasdetector,table,0.079044,2,Emotional/Evaluative,,
feature,shared,biasdetector,says,0.149404,1,Framing/Reporting Verbs,,
feature,shared,biasdetector,nation,0.185515,1,Emotional/Evaluative,,
feature,shared,biasdetector,business,0.356638,1,Emotional/Evaluative,,
feature,shared,biasdetector,instead,0.097946,1,Emotional/Evaluative,,
feature,shared,biasdetector,protection,0.187754,1,Emotional/Evaluative,,
feature,shared,biasdetector,ist,0.500927,1,Emotional/Evaluative,,
feature,shared,biasdetector,american.””,0.132456,1,Emotional/Evaluative,,
feature,shared,biasdetector,intensely,0.173223,1,Emotional/Evaluative,,
feature,shared,biasdetector,began,0.062318,2,Emotional/Evaluative,,
feature,shared,biasdetector,naked,0.070738,1,Emotional/Evaluative,,
feature,shared,biasdetector,that’’,0.064986,2,Emotional/Evaluative,,
feature,shared,biasdetector,disdain,0.210931,1,Emotional/Evaluative,,
feature,shared,biasdetector,drew,0.076461,1,Emotional/Evaluative,,
feature,shared,biasdetector,titled““,0.069464,1,Emotional/Evaluative,,
feature,shared,biasdetector,groups,0.1104,1,Emotional/Evaluative,,
feature,shared,biasdetector,called,0.085901,3,Framing/Reporting Verbs,,
feature,shared,biasdetector,railed,0.225111,1,Emotional/Evaluative,,
feature,shared,biasdetector,claiming,0.207198,1,Framing/Reporting Verbs,,
feature,shared,biasdetector,accuses,0.226979,1,Emotional/Evaluative,,
feature,shared,biasdetector,failing,0.260323,1,Emotional/Evaluative,,
feature,shared,biasdetector,protocols,0.078208,1,Emotional/Evaluative,,
feature,shared,biasdetector,obstruction,0.090888,1,Emotional/Evaluative,,
feature,shared,biasdetector,vitriol,0.0809,1,Emotional/Evaluative,,
feature,shared,biasdetector,think,0.06546,1,Emotional/Evaluative,,
feature,shared,biasdetector,cited,0.10818,1,Emotional/Evaluative,,
feature,shared,biasdetector,history,0.064279,1,Emotional/Evaluative,,
feature,shared,biasdetector,accusing,0.079538,1,Emotional/Evaluative,,
feature,shared,biasdetector,hypocrisy,0.571346,1,Emotional/Evaluative,,
feature,shared,biasdetector,"irony,’’",0.20455,1,Emotional/Evaluative,,
feature,shared,biasdetector,““he,0.080367,1,Emotional/Evaluative,,
feature,shared,biasdetector,blows,0.101769,1,Emotional/Evaluative,,
feature,shared,biasdetector,false,0.067491,1,Emotional/Evaluative,,
feature,shared,biasdetector,misleading,0.295111,2,Emotional/Evaluative,,
feature,shared,biasdetector,crying,0.137136,1,Emotional/Evaluative,,
feature,shared,biasdetector,foul,0.147513,1,Emotional/Evaluative,,
feature,shared,biasdetector,criticism,0.075412,1,Emotional/Evaluative,,
feature,shared,biasdetector,however,0.087949,1,Emotional/Evaluative,,
feature,shared,biasdetector,circumstances,0.076483,1,Emotional/Evaluative,,
feature,shared,biasdetector,anything,0.116408,1,Emotional/Evaluative,,
feature,shared,biasdetector,““given,0.076868,1,Emotional/Evaluative,,
feature,shared,biasdetector,pills,0.062445,1,Emotional/Evaluative,,
feature,shared,biasdetector,stuffed,0.085151,1,Emotional/Evaluative,,
feature,shared,biasdetector,trump‘‘’’’’,0.118837,1,Emotional/Evaluative,,
feature,shared,biasdetector,course,0.177937,1,Emotional/Evaluative,,
feature,shared,biasdetector,100false,0.325705,1,Emotional/Evaluative,,
feature,shared,biasdetector,liber,0.23529,1,Emotional/Evaluative,,
feature,shared,biasdetector,als,0.120496,1,Emotional/Evaluative,,
feature,shared,biasdetector,going,0.063697,3,Emotional/Evaluative,,
feature,shared,biasdetector,far,0.076774,2,Emotional/Evaluative,,
feature,shared,biasdetector,trying,0.151515,1,Emotional/Evaluative,,
feature,shared,biasdetector,speaker,0.063022,1,Emotional/Evaluative,,
feature,shared,biasdetector,bringing,0.075321,1,Emotional/Evaluative,,
feature,shared,biasdetector,floor,0.111553,1,Emotional/Evaluative,,
feature,shared,biasdetector,if’’,0.11576,1,Emotional/Evaluative,,
feature,shared,biasdetector,gone,0.074081,1,Emotional/Evaluative,,
feature,shared,biasdetector,greatly,0.16645,1,Emotional/Evaluative,,
feature,shared,biasdetector,““somewhere,0.071453,1,Emotional/Evaluative,,
feature,shared,biasdetector,destruction,0.175111,1,Emotional/Evaluative,,
feature,shared,biasdetector,"clintons,””",0.080074,1,Emotional/Evaluative,,
feature,shared,biasdetector,she,0.105849,1,Emotional/Evaluative,,
feature,shared,biasdetector,told,0.173836,1,Emotional/Evaluative,,
feature,shared,biasdetector,skirmish,0.095787,1,Emotional/Evaluative,,
feature,shared,biasdetector,billionaire,0.098969,2,Emotional/Evaluative,,
feature,shared,biasdetector,impeach,0.073573,1,Emotional/Evaluative,,
feature,shared,biasdetector,motherfucker.””,0.277502,1,Emotional/Evaluative,,
feature,shared,biasdetector,hammered,0.124904,1,Emotional/Evaluative,,
feature,shared,biasdetector,dishonest,0.406299,1,Emotional/Evaluative,,
feature,shared,biasdetector,rigged,0.074887,1,Emotional/Evaluative,,
feature,shared,biasdetector,system!””,0.177501,1,Emotional/Evaluative,,
feature,shared,biasdetector,liberal,0.694923,1,Emotional/Evaluative,,
feature,shared,biasdetector,storm,0.195404,1,Emotional/Evaluative,,
feature,shared,biasdetector,saturday,0.14998,2,Function/Temporal Words,,
feature,shared,biasdetector,dire,0.074863,1,Emotional/Evaluative,,
feature,shared,biasdetector,"percent,””",0.175709,1,Emotional/Evaluative,,
feature,shared,biasdetector,propensity,0.091808,1,Emotional/Evaluative,,
feature,shared,biasdetector,gaffes,0.066349,1,Emotional/Evaluative,,
feature,shared,biasdetector,slams',0.088087,1,Emotional/Evaluative,,
feature,shared,biasdetector,crooked',0.151071,1,Emotional/Evaluative,,
feature,shared,biasdetector,huma,0.096565,1,Emotional/Evaluative,,
feature,shared,biasdetector,calls,0.080576,1,Framing/Reporting Verbs,,
feature,shared,biasdetector,deep,0.097121,1,Emotional/Evaluative,,
feature,shared,biasdetector,state',0.163771,1,Emotional/Evaluative,,
feature,shared,biasdetector,steele,0.11418,1,Emotional/Evaluative,,
feature,shared,biasdetector,nor,0.098236,1,Emotional/Evaluative,,
feature,shared,biasdetector,pundit,0.292788,1,Emotional/Evaluative,,
feature,shared,biasdetector,question,0.111692,1,Emotional/Evaluative,,
feature,shared,biasdetector,apologizes,0.273477,1,Emotional/Evaluative,,
feature,shared,biasdetector,controversial,0.169886,1,Emotional/Evaluative,,
feature,shared,biasdetector,images,0.13055,1,Emotional/Evaluative,,
feature,shared,biasdetector,bloodied,0.161279,1,Emotional/Evaluative,,
feature,shared,biasdetector,head,0.07658,1,Emotional/Evaluative,,
feature,shared,biasdetector,lurch,0.108927,1,Emotional/Evaluative,,
feature,shared,biasdetector,sort,0.073912,1,Emotional/Evaluative,,
feature,shared,biasdetector,triggered,0.135142,1,Emotional/Evaluative,,
feature,shared,biasdetector,fiery,0.456319,1,Emotional/Evaluative,,
feature,shared,biasdetector,twitter,0.106865,1,Emotional/Evaluative,,
feature,shared,biasdetector,bigots,0.298164,1,Emotional/Evaluative,,
feature,shared,biasdetector,movement.””,0.187932,1,Emotional/Evaluative,,
feature,shared,biasdetector,scoffed,0.263522,1,Emotional/Evaluative,,
feature,shared,biasdetector,sunday,0.104051,1,Function/Temporal Words,,
feature,shared,biasdetector,believing,0.064463,1,Emotional/Evaluative,,
feature,shared,biasdetector,vehemently,0.078169,1,Emotional/Evaluative,,
feature,shared,biasdetector,denied,0.101935,1,Emotional/Evaluative,,
feature,shared,biasdetector,rippled,0.09355,1,Emotional/Evaluative,,
feature,shared,biasdetector,washington,0.159828,1,Emotional/Evaluative,,
feature,shared,biasdetector,terrorists,0.222895,1,Emotional/Evaluative,,
feature,shared,biasdetector,attacks,0.093802,2,Emotional/Evaluative,,
feature,shared,biasdetector,algeria.””,0.184229,1,Emotional/Evaluative,,
feature,shared,biasdetector,armed,0.06692,1,Emotional/Evaluative,,
feature,shared,biasdetector,blamed,0.143418,1,Emotional/Evaluative,,
feature,shared,biasdetector,veered,0.065615,1,Emotional/Evaluative,,
feature,shared,biasdetector,veiled,0.13169,1,Emotional/Evaluative,,
feature,shared,biasdetector,outright,0.127279,1,Emotional/Evaluative,,
feature,shared,biasdetector,pledge,0.293737,1,Emotional/Evaluative,,
feature,shared,biasdetector,to““,0.107692,1,Emotional/Evaluative,,
feature,shared,biasdetector,earthislamic,0.271192,1,Emotional/Evaluative,,
feature,shared,biasdetector,terrorism,0.172112,1,Emotional/Evaluative,,
feature,shared,biasdetector,elephants,0.311738,1,Emotional/Evaluative,,
feature,shared,biasdetector,africa,0.070957,1,Emotional/Evaluative,,
feature,shared,biasdetector,terrorist,0.323638,2,Emotional/Evaluative,,
feature,shared,biasdetector,alarming,0.247907,1,Emotional/Evaluative,,
feature,shared,biasdetector,rate,0.082651,1,Emotional/Evaluative,,
feature,shared,biasdetector,stereotyping,0.142861,1,Explicit Bias Terms,,
feature,shared,biasdetector,doesn,0.062864,1,Emotional/Evaluative,,
feature,shared,biasdetector,ironically,0.355456,1,Emotional/Evaluative,,
feature,shared,biasdetector,enough,0.077419,1,Emotional/Evaluative,,
feature,shared,biasdetector,beyond.””,0.115452,1,Emotional/Evaluative,,
feature,shared,biasdetector,continued,0.06343,2,Emotional/Evaluative,,
feature,shared,biasdetector,inept,0.276264,1,Emotional/Evaluative,,
feature,shared,biasdetector,misdeeds,0.180653,1,Emotional/Evaluative,,
feature,shared,biasdetector,ideological,0.117558,1,Emotional/Evaluative,,
feature,shared,biasdetector,base,0.099337,1,Emotional/Evaluative,,
feature,shared,biasdetector,profoundly,0.113582,1,Emotional/Evaluative,,
feature,shared,biasdetector,animates,0.062334,1,Emotional/Evaluative,,
feature,shared,biasdetector,governor,0.121632,1,Emotional/Evaluative,,
feature,shared,biasdetector,quietly,0.328414,1,Emotional/Evaluative,,
feature,shared,biasdetector,slow,0.150344,1,Emotional/Evaluative,,
feature,shared,biasdetector,costly,0.069343,1,Emotional/Evaluative,,
feature,shared,biasdetector,railing,0.112362,1,Emotional/Evaluative,,
feature,shared,biasdetector,"bomb,’’””",0.204537,1,Emotional/Evaluative,,
feature,shared,biasdetector,that-----,0.105735,1,Emotional/Evaluative,,
feature,shared,biasdetector,fg,0.09982,1,Emotional/Evaluative,,
feature,shared,biasdetector,acrimony,0.241884,1,Emotional/Evaluative,,
feature,shared,biasdetector,display,0.069832,1,Emotional/Evaluative,,
feature,shared,biasdetector,congress,0.066081,3,Emotional/Evaluative,,
feature,shared,biasdetector,counsel,0.06619,1,Emotional/Evaluative,,
feature,shared,biasdetector,any,0.072191,1,Function/Temporal Words,,
feature,shared,biasdetector,enormous,0.246892,1,Emotional/Evaluative,,
feature,shared,biasdetector,ceaseless,0.317717,1,Emotional/Evaluative,,
feature,shared,biasdetector,senate,0.070575,2,Emotional/Evaluative,,
feature,shared,biasdetector,exasper,0.118502,1,Emotional/Evaluative,,
feature,shared,biasdetector,kicking,0.078391,1,Emotional/Evaluative,,
feature,shared,biasdetector,sharp,0.063012,2,Emotional/Evaluative,,
feature,shared,biasdetector,yawning,0.237605,1,Emotional/Evaluative,,
feature,shared,biasdetector,excoriated,0.170754,1,Emotional/Evaluative,,
feature,shared,biasdetector,supposedly,0.090416,1,Emotional/Evaluative,,
feature,shared,biasdetector,"administration,””",0.095676,1,Emotional/Evaluative,,
feature,shared,biasdetector,reports.””,0.105788,1,Emotional/Evaluative,,
feature,shared,biasdetector,shoddy,0.546752,1,Emotional/Evaluative,,
feature,shared,biasdetector,recovery,0.078951,1,Emotional/Evaluative,,
feature,shared,biasdetector,friggin,0.554932,1,Emotional/Evaluative,,
feature,shared,biasdetector,schumer,0.084132,1,Emotional/Evaluative,,
feature,shared,biasdetector,bashed,0.509086,1,Emotional/Evaluative,,
feature,shared,biasdetector,sen,0.069052,1,Emotional/Evaluative,,
feature,shared,biasdetector,lambasted,0.309736,1,Emotional/Evaluative,,
feature,shared,biasdetector,it““,0.092638,1,Emotional/Evaluative,,
feature,shared,biasdetector,insisting,0.272297,1,Framing/Reporting Verbs,,
feature,shared,biasdetector,despite,0.06728,1,Emotional/Evaluative,,
feature,shared,biasdetector,weiner,0.12128,1,Emotional/Evaluative,,
feature,shared,biasdetector,abandoned,0.104946,1,Emotional/Evaluative,,
feature,shared,biasdetector,humor,0.22042,1,Emotional/Evaluative,,
summary,shared,biasdetector,,,305,Emotional/Evaluative,0.9443,323
summary,shared,biasdetector,,,1,Explicit Bias Terms,0.0031,323
summary,shared,biasdetector,,,8,Framing/Reporting Verbs,0.0248,323
summary,shared,biasdetector,,,9,Function/Temporal Words,0.0279,323
feature,shared,daroberta,palatable,0.102588,1,Emotional/Evaluative,,
feature,shared,daroberta,trump,0.088286,20,Emotional/Evaluative,,
feature,shared,daroberta,bombastic,0.326411,1,Emotional/Evaluative,,
feature,shared,daroberta,reality,0.115183,1,Emotional/Evaluative,,
feature,shared,daroberta,television,0.099554,1,Emotional/Evaluative,,
feature,shared,daroberta,steady,0.069287,1,Emotional/Evaluative,,
feature,shared,daroberta,torrent,0.08629,1,Emotional/Evaluative,,
feature,shared,daroberta,trash,0.084651,1,Emotional/Evaluative,,
feature,shared,daroberta,talk,0.06437,1,Emotional/Evaluative,,
feature,shared,daroberta,claimed,0.312441,5,Framing/Reporting Verbs,,
feature,shared,daroberta,falsely,0.303753,2,Emotional/Evaluative,,
feature,shared,daroberta,refuse,0.065628,1,Emotional/Evaluative,,
feature,shared,daroberta,politics,0.100606,4,Emotional/Evaluative,,
feature,shared,daroberta,nominees,0.078098,1,Emotional/Evaluative,,
feature,shared,daroberta,cheap,0.114478,1,Emotional/Evaluative,,
feature,shared,daroberta,rhetoric,0.183147,3,Emotional/Evaluative,,
feature,shared,daroberta,progressivism,0.150927,2,Emotional/Evaluative,,
feature,shared,daroberta,eating,0.2255,1,Emotional/Evaluative,,
feature,shared,daroberta,constitution,0.093811,1,Emotional/Evaluative,,
feature,shared,daroberta,roiled,0.202084,1,Emotional/Evaluative,,
feature,shared,daroberta,exactly,0.070223,1,Emotional/Evaluative,,
feature,shared,daroberta,sucked,0.259942,1,Emotional/Evaluative,,
feature,shared,daroberta,must,0.085842,3,Function/Temporal Words,,
feature,shared,daroberta,his’’,0.137965,1,Emotional/Evaluative,,
feature,shared,daroberta,administrations,0.094729,1,Emotional/Evaluative,,
feature,shared,daroberta,alleged,0.076521,1,Framing/Reporting Verbs,,
feature,shared,daroberta,ethical,0.072781,1,Emotional/Evaluative,,
feature,shared,daroberta,abuses,0.068161,1,Emotional/Evaluative,,
feature,shared,daroberta,combined,0.084274,1,Emotional/Evaluative,,
feature,shared,daroberta,so,0.07137,3,Emotional/Evaluative,,
feature,shared,daroberta,screw,0.299035,1,Emotional/Evaluative,,
feature,shared,daroberta,bullies’’,0.352994,1,Emotional/Evaluative,,
feature,shared,daroberta,win.’’,0.104872,1,Emotional/Evaluative,,
feature,shared,daroberta,clown,0.255059,1,Emotional/Evaluative,,
feature,shared,daroberta,rather,0.115818,2,Emotional/Evaluative,,
feature,shared,daroberta,combustible,0.384353,1,Emotional/Evaluative,,
feature,shared,daroberta,bias,0.108459,2,Emotional/Evaluative,,
feature,shared,daroberta,genova,0.158444,1,Emotional/Evaluative,,
feature,shared,daroberta,blasted,0.446765,1,Emotional/Evaluative,,
feature,shared,daroberta,outrageous.””,0.095968,1,Emotional/Evaluative,,
feature,shared,daroberta,violent,0.239193,1,Emotional/Evaluative,,
feature,shared,daroberta,criminal,0.300229,1,Emotional/Evaluative,,
feature,shared,daroberta,crtitics,0.433234,1,Emotional/Evaluative,,
feature,shared,daroberta,cuba,0.174649,1,Emotional/Evaluative,,
feature,shared,daroberta,stuck,0.203599,1,Emotional/Evaluative,,
feature,shared,daroberta,abashed,0.201723,1,Emotional/Evaluative,,
feature,shared,daroberta,mocked,0.236696,1,Emotional/Evaluative,,
feature,shared,daroberta,texas,0.070589,2,Emotional/Evaluative,,
feature,shared,daroberta,though,0.07023,2,Emotional/Evaluative,,
feature,shared,daroberta,almost,0.079875,2,Emotional/Evaluative,,
feature,shared,daroberta,establishment,0.244396,2,Emotional/Evaluative,,
feature,shared,daroberta,anyone,0.065115,1,Emotional/Evaluative,,
feature,shared,daroberta,““deep,0.325367,1,Emotional/Evaluative,,
feature,shared,daroberta,justice,0.077914,3,Emotional/Evaluative,,
feature,shared,daroberta,dept,0.067183,1,Emotional/Evaluative,,
feature,shared,daroberta,finally,0.230585,2,Emotional/Evaluative,,
feature,shared,daroberta,indictment,0.105767,1,Emotional/Evaluative,,
feature,shared,daroberta,numerous,0.189697,1,Emotional/Evaluative,,
feature,shared,daroberta,lies,0.265066,1,Emotional/Evaluative,,
feature,shared,daroberta,talking,0.122563,2,Emotional/Evaluative,,
feature,shared,daroberta,news,0.06421,4,Emotional/Evaluative,,
feature,shared,daroberta,incorrectly,0.078965,1,Emotional/Evaluative,,
feature,shared,daroberta,interests,0.063582,1,Emotional/Evaluative,,
feature,shared,daroberta,badly,0.063482,1,Emotional/Evaluative,,
feature,shared,daroberta,shutdown,0.09901,2,Emotional/Evaluative,,
